Id_processo_ viagem;situacao;orgao_superior;orgao_solicitante;nome;cargo;data_inicio;data_fim;destinos;motivo;valor_diarias;valor_passagens
15233002;Não realizada;Ministério da Defesa                     ;Comando do Exército                                             ;MARCOS ANTONIO AMARO DOS SANTOS        ;                                     ;2019/01/08 00:00:00.000000000;2019/01/11 00:00:00.000000000;Porto Alegre/RS, Curitiba/PR     ;O Exmo Sr Gen Ex MARCOS ANTONIO AMARO DOS SANTOS - Sect Econ Fin presidirá as passagens de chefia das 3ª ICFEx e 5ª ICFEx, nas guarnições de Porto Alegre/RS e Curitiba/PR, respectivamente.                                                                                                                                                                ;0,0;1236,38
15238063;Realizada    ;Ministério da Defesa                     ;Comando do Exército                                             ;MARCOS ANTONIO AMARO DOS SANTOS        ;                                     ;2019/01/14 00:00:00.000000000;2019/01/15 00:00:00.000000000;Rio de Janeiro/RJ                ;O Exmo Sr. Gen Ex MARCO ANTONIO AMARO DOS SANTOS - Secretário de Economia e Finanças, irá presidir a Passagem de Chefia da 1ª ICFEx, na guarnição do Rio do Janeiro/RJ.                                                                                                                                                                                     ;481,65;746,35
15238076;Realizada    ;Ministério da Defesa                     ;Comando do Exército                                             ;MARCOS ANTONIO AMARO DOS SANTOS        ;                                     ;2019/01/16 00:00:00.000000000;2019/01/17 00:00:00.000000000;Recife/PE                        ;O Exmo Sr. Gen Ex MARCOS ANTONIO AMAROS DOS SANTOS -  Sect Econ Fin presidirá a passagem de chefia na 7ª ICFEx na guarnição de Recife/PE.                                                                                                                                                                                                                   ;456,3;1293,41
15303334;Realizada    ;Ministério da Educação                   ;Universidade Tecnológica Federal do Paraná                      ;ADRIANA DA SILVA FONTES                ;PROFESSOR ENS BASICO TECN TECNOLOGICO;2019/01/26 00:00:00.000000000;2019/02/01 00:00:00.000000000;Salvador/BA                      ;"A proposto participará do XXIII Simpósio Nacional de Ensino de Física. com apresentação de trabalho. Este evento será realizado entre os dias 27 de janeiro a 01 de fevereiro de 2019, em Salvador, BA. O tema proposto para esta edição é o Ensino de Física no século XXI: caminhos para uma educação inclusiva"".""                                        ";1371,5;986,15
15355834;Realizada    ;Ministério da Justiça e Segurança Pública;Departamento de Polícia Federal                                 ;Informações protegidas por sigilo      ;Informações protegidas por sigilo    ;2019/02/02 00:00:00.000000000;2019/02/02 00:00:00.000000000;Informações protegidas por sigilo;Informação protegida por sigilo nos termos da legislação vigente                                                                                                                                                                                                                                                                                            ;0,0;1492,03
15355867;Realizada    ;Ministério da Justiça e Segurança Pública;Departamento de Polícia Federal                                 ;Informações protegidas por sigilo      ;Informações protegidas por sigilo    ;2019/02/02 00:00:00.000000000;2019/02/02 00:00:00.000000000;Informações protegidas por sigilo;Informação protegida por sigilo nos termos da legislação vigente                                                                                                                                                                                                                                                                                            ;0,0;1492,03
15387556;Não realizada;Ministério da Educação                   ;Fundação Universidade de Brasília                               ;LUCIO CAMARA E SILVA                   ;PROFESSOR DO MAGISTERIO SUPERIOR     ;2019/02/18 00:00:00.000000000;2019/02/20 00:00:00.000000000;Brasília/DF                      ;Participação na banca de defesa de dissertação de Henrique Martins Gianvecchio Carvalho.                                                                                                                                                                                                                                                                    ;0,0;672,6
15392543;Realizada    ;Ministério da Educação                   ;Universidade Federal do Espírito Santo                          ;YURI FAVALESSA MONTEIRO                ;TECNICO EM ANATOMIA E NECROPSIA      ;2019/01/13 00:00:00.000000000;2019/01/20 00:00:00.000000000;Maceió/AL                        ;Participação em curso de capacitação de curta duração (60H) dentro do Brasil. A participação no XVIII Curso de Técnicas Anatômicas Prof. Hildegardo Rodrigues tem o objetivo de reciclagem e aprendizagem de novas técnicas anatômicas, conceitos científicos e metodologias de ensino para melhor desenvolvimento das atividades no departamento de origem.;0,0;2671,65
15393148;Realizada    ;Ministério da Educação                   ;Universidade Tecnológica Federal do Paraná                      ;MAUREN LOUISE SGUARIO COELHO DE ANDRADE;PROFESSOR DO MAGISTERIO SUPERIOR     ;2019/01/07 00:00:00.000000000;2019/01/27 00:00:00.000000000;Pavia/Itália                     ;Visita técnica para aplicação de novas metodologias didatico-pedagógicas, Universidade de Pavia, na Itália.                                                                                                                                                                                                                                                 ;0,0;0,0
15393655;Não realizada;Ministério das Relações Exteriores       ;Ministério das Relações Exteriores - Unidades com vínculo direto;CESAR DE OLIVEIRA LIMA BARRIO          ;CONSELHEIRO                          ;2019/01/23 00:00:00.000000000;2019/01/29 00:00:00.000000000;Paris/França                     ;Remoção p/ BRASUNESCO, conforme BS 110/18                                                                                                                                                                                                                                                                                                                   ;0,0;3463,12
